Competitor 1,Competitor 2
Zach Abrams (Harvard),Shahzod Nazirov (MIT)
Tyger Zhang (Umass Boston),Rakibul Chowdhury (MIT)
Shahzod Nazirov (MIT),Aiden Sullivan (West Point)
Caden Watson (West Point),Shahzod Nazirov (MIT)
Caden Watson (West Point),Shay Toner (MIT)
Zach Abrams (Harvard),Rakibul Chowdhury (MIT)
Zach Abrams (Harvard),Aiden Sullivan (West Point)
Tyger Zhang (Umass Boston),Caden Watson (West Point)
Tyger Zhang (Umass Boston),Aiden Sullivan (West Point)
